#1
double BHB(14,14) #comment line
0	4	5	6	7	8	9	10	11	12	13	14	15	16 #u2 grid points
1	1.2	1.3	1.2	1.2	1.1	1	0.9	0.8	0.7	0.7	0.7	0.6	0.7
1.5	2.6	2.5	2.3	2.2	2.3	2.0	1.9	1.7	1.4	1.5	1.2	1.2	1.2
2	4.4	4.0	3.7	3.6	3.5	3.1	2.8	2.5	2.3	2.2	2	1.8	1.7
2.5	0	6.0	5.2	4.5	4.6	4.3	3.9	3.6	3.0	2.8	2.5	2.7	2.6
3	0	7.4	6.7	6.2	5.7	5.4	4.7	4.1	4.1	3.7	3.3	3.3	3.2
3.5	0	0	8.4	7.3	6.9	5.8	5.4	4.9	4.4	4.2	3.7	3.4	3.6
4	0	0	8.9	8.6	7.6	6.8	6.2	5.6	5.0	4.6	4.5	4.3	3.6
4.5	0	0	10.6	9.5	8.7	7.6	7.0	6.1	5.9	5.4	5.1	5.0	4.7
5	0	0	12.2	10.8	9.2	8.6	7.3	7.2	6.3	5.9	5.7	5.4	5.0
5.5	0	0	0	11.1	10.1	8.9	8.1	7.5	6.8	6.4	6.1	5.5	5.8
6	0	0	0	13.1	11.3	10.1	9.1	8.3	7.5	6.7	6.9	6.4	5.8
6.5	0	0	0	13.5	11.6	10.4	9.8	9.0	7.6	7.3	7.5	6.2	6.4
7	0	0	0	15.0	12.9	10.9	10.0	8.8	8.6	8.2	7.6	7.3	6.8
