#1
double BHBA(14,14) #comment line
0	4	5	6	7	8	9	10	11	12	13	14	15	16 #u2 grid points
1	63.0	92.0	85.0	73.0	63.0	60.0	60.0	53.0	47.0	48.0	46.0	42.0	37.0
1.5	134.0	174.0	181.0	160.0	141.0	124.0	118.0	115.0	100.0	89.0	77.0	94.0	80.0
2	207.0	313.0	296.0	275.0	250.0	223.0	229.0	229.0	200.0	161.0	148.0	180.0	153.0
2.5	0	463.0	462.0	396.0	393.0	379.0	320.0	370.0	306.0	294.0	225.0	236.0	228.0
3	0	653	641.0	602.0	557.0	555.0	460.0	471.0	431.0	393.0	437.0	381.0	325.0
3.5	0	0	900.0	848.0	785.0	717.0	662.0	656.0	557.0	551.0	571.0	580.0	478.0
4	0	0	1123.0	1098.0	1030.0	984.0	799.0	857.0	821.0	830.0	637.0	592.0	652.0
4.5	0	0	1339.0	1339.0	1202.0	1181.0	1050.0	1140.0	1012.0	848.0	863.0	672.0	828.0
5	0	0	1689.0	1518.0	1403.0	1318.0	1248.0	1348.0	1115.0	1176.0	825.0	890.0	982.0
5.5	0	0	0	1943.0	1749.0	1517.0	1477.0	1374.0	1395.0	1376.0	1089.0	1212.0	1117.0
6	0	0	0	2192.0	2144.0	1618.0	1789.0	1586.0	1634.0	1783.0	1585.0	1346.0	1313.0
6.5	0	0	0	2335.0	2162.0	1975.0	1962.0	1857.0	1660.0	1492.0	1619.0	1336.0	1668.0
7	0	0	0	2709.0	2437.0	2449.0	2262.0	2205.0	1900.0	2292.0	1785.0	1443.0	1750.0
