#1
double BSHB(14,14) #comment line	
0	4	5	6	7	8	9	10	11	12	13	14	15	16 #u2 grid points
1	5.0	9.0	9.0	10.0	7.0	6.0	5.0	4.0	3.0	3.0	2.0	2.0	1.0
1.5	12.0	19.0	22.0	20.0	15.0	13.0	10.0	8.0	6.0	6.0	4.0	3.0	3.0
2	13.0	32.0	38.0	32.0	25.0	23.0	17.0	13.0	11.0	9.0	7.0	7.0	5.0
2.5	0	48.0	54.0	47.0	41.0	33.0	26.0	20.0	17.0	14.0	10.0	9.0	8.0
3	0	65	75.0	68.0	56.0	46.0	36.0	26.0	23.0	18.0	15.0	10.0	10.0
3.5	0	0	97.0	86.0	71.0	62.0	46.0	33.0	29.0	23.0	20.0	15.0	13.0
4	0	0	119.0	121.0	97.0	69.0	58.0	47.0	38.0	31.0	27.0	21.0	16.0
4.5	0	0	147.0	146.0	107.0	93.0	74.0	61.0	48.0	37.0	33.0	26.0	21.0
5	0	0	156.0	174.0	139.0	116.0	83.0	63.0	59.0	45.0	38.0	25.0	22.0
5.5	0	0	0	201.0	164.0	133.0	89.0	79.0	66.0	54.0	41.0	35.0	28.0
6	0	0	0	216.0	197.0	153.0	127.0	88.0	79.0	65.0	46.0	40.0	33.0
6.5	0	0	0	244.0	209.0	175.0	151.0	113.0	95.0	76.0	55.0	44.0	39.0
7	0	0	0	260.0	209.0	183.0	157.0	114.0	103.0	82.0	62.0	51.0	42.0
