#1
double F2HB(14,14) #comment line
0	4	5	6	7	8	9	10	11	12	13	14	15	16 #u2 grid points
1	6.0	11.0	19.0	25.0	30.0	44.0	50.0	53.0	44.0	34.0	22.0	20.0	17.0
1.5	13.0	25.0	4.0	55.0	68.0	90.0	102.0	92.0	91.0	66.0	65.0	45.0	37.0
2	24.0	45.0	65.0	100.0	121.0	153.0	175.0	151.0	122.0	126.0	87.0	61.0	58.0
2.5	0	65.0	104.0	141.0	191.0	179.0	243.0	255.0	190.0	181.0	135.0	99.0	83.0
3	0	96	137.0	205.0	244.0	357.0	293.0	353.0	260.0	248.0	184.0	137.0	120.0
3.5	0	0	192.0	254.0	291.0	431.0	385.0	424.0	314.0	285.0	239.0	222.0	172.0
4	0	0	256.0	366.0	403.0	551.0	536.0	531.0	473.0	420.0	289.0	268.0	179.0
4.5	0	0	327.0	418.0	574.0	678.0	708.0	665.0	509.0	415.0	386.0	244.0	249.0
5	0	0	358.0	514.0	658.0	824.0	828.0	618.0	638.0	512.0	452.0	384.0	333.0
5.5	0	0	0	610.0	774.0	880.0	936.0	905.0	805.0	603.0	456.0	397.0	311.0
6	0	0	0	711.0	952.0	974.0	1000.0	838.0	886.0	648.0	501.0	503.0	396.0
6.5	0	0	0	788.0	1000.0	1000.0	1000.0	979.0	1000.0	727.0	577.0	435.0	424.0
7	0	0	0	781.0	1000.0	1000.0	1000.0	1000.0	1000.0	959.0	748.0	574.0	472.0
